wikidata_id;baumart_bo;baumart_de;property_id;attribute_name;value;group
Q156831;Tilia platyphyllos;Sommerlinde;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Tilia%20platyphyllos%20range.svg;
Q156831;Tilia platyphyllos;Sommerlinde;P225;wissenschaftlicher_name;Tilia platyphyllos;
Q156831;Tilia platyphyllos;Sommerlinde;P279;unterklasse_von;Nutzpflanze;
Q156831;Tilia platyphyllos;Sommerlinde;P31;ist_eine;Taxon;
Q156831;Tilia platyphyllos;Sommerlinde;P366;verwendung;Gemüse;
Q156831;Tilia platyphyllos;Sommerlinde;P3739;bluetenstand;cyme;
Q156831;Tilia platyphyllos;Sommerlinde;P4000;fruchttyp;Nüsschen;
Q156831;Tilia platyphyllos;Sommerlinde;P4214;hoechste_beobachtete_lebensdauer;700.0;
Q163760;Tilia x vulgaris;Holländische Linde;P105;taxonomischer_rang;Nothospecies;
Q163760;Tilia x vulgaris;Holländische Linde;P10906;foliage_type;laubabwerfend;
Q163760;Tilia x vulgaris;Holländische Linde;P12616;leaf_morphology;asymmetrical leaf blade;
Q163760;Tilia x vulgaris;Holländische Linde;P12616;leaf_morphology;cordate leaf blade;
Q163760;Tilia x vulgaris;Holländische Linde;P12616;leaf_morphology;orbicular leaf blade;
Q163760;Tilia x vulgaris;Holländische Linde;P12616;leaf_morphology;pinnate leaf venation;
Q163760;Tilia x vulgaris;Holländische Linde;P12616;leaf_morphology;rugose leaf;
Q163760;Tilia x vulgaris;Holländische Linde;P12616;leaf_morphology;serrate leaf edge;
Q163760;Tilia x vulgaris;Holländische Linde;P1420;taxonomische_synonyme;Tilia officinarum;
Q163760;Tilia x vulgaris;Holländische Linde;P1420;taxonomische_synonyme;Tilia ×croatica;
Q163760;Tilia x vulgaris;Holländische Linde;P1420;taxonomische_synonyme;Tilia ×eriostylis;
Q163760;Tilia x vulgaris;Holländische Linde;P1531;hybrideltern;Sommer-Linde;
Q163760;Tilia x vulgaris;Holländische Linde;P1531;hybrideltern;Winterlinde;
Q163760;Tilia x vulgaris;Holländische Linde;P1552;charakterisiert_durch;florets per infloresence;
Q163760;Tilia x vulgaris;Holländische Linde;P1672;ursprung_von;European lime wood;
Q163760;Tilia x vulgaris;Holländische Linde;P1672;ursprung_von;Lindenblüte;
