name_botanic,strain,wikidata_id,baumart_bo
Quercus rubra L.,Allgemein,Q147525,Quercus rubra
Quercus velutina,Allgemein,,
Quercus x hispanica,Allgemein,Q15337558,Quercus x hispanica
Quercus x hispanica,Wageningen,Q15337558,Quercus x hispanica
Rhamnus cathartica L.,Allgemein,,
Rhus chinensis Mill.,Allgemein,,
Rhus sylvestris Siebold et Zucc.,Allgemein,,
Rhus typhina L.,Allgemein,Q148986,Rhus typhina
Robinia luxurians (Dieck) C.K. Schneid.,Allgemein,,
Robinia pseudoacacia L.,Allgemein,Q157417,Robinia pseudoacacia
Robinia pseudoacacia L.,Bessoniana,Q157417,Robinia pseudoacacia
Robinia pseudoacacia L.,Monophylla,Q157417,Robinia pseudoacacia
Robinia pseudoacacia L.,Nyirsegi,Q157417,Robinia pseudoacacia
Robinia pseudoacacia L.,Sandraudiga,Q157417,Robinia pseudoacacia
Robinia pseudoacacia L.,Semperflorens,Q157417,Robinia pseudoacacia
Robinia pseudoacacia L.,Umbraculifera,Q157417,Robinia pseudoacacia
Robinia viscosa Vent.,Allgemein,,
Rosa agrestis Savi,Allgemein,,
Rosa canina L.,Allgemein,,
Rosa corymbifera Bork.,Allgemein,,
Rosa foetida J. Herrm.,Allgemein,,
Rosa gallica L.,Allgemein,,
"Rosa glauca Pourr. (R. ferruginea auct. Non Vill., R. rubrifolia Vill.)",Allgemein,,
Rosa rubiginosa L.,Allgemein,,
Rosa tomentella Léman,Allgemein,,
Rosa tomentosa Sm.,Allgemein,,
Salix alba L. var. alba,Allgemein,Q156918,Salix alba
Salix alba L. var. alba,Liempde,Q156918,Salix alba
Salix caprea L.,Allgemein,Q159565,Salix caprea
Sorbus aria (L.) Crantz,Allgemein,Q157960,Sorbus aria
Sorbus aria (L.) Crantz,Magnifica,Q157960,Sorbus aria
Sorbus aria (L.) Crantz,Majestica,Q157960,Sorbus aria
Sorbus aucuparia L. subsp. aucuparia,Allgemein,Q146198,Sorbus aucuparia
Sorbus aucuparia L. subsp. aucuparia,Edulis,Q146198,Sorbus aucuparia
Sorbus badensis Düll.,Allgemein,,
Sorbus domestica L.,Allgemein,Q159558,Sorbus domestica
Sorbus folgneri (C.K. Schneid.) Rehder,Allgemein,,
Sorbus intermedia (Ehrh.) Pers.,Allgemein,Q27980,Sorbus intermedia
Sorbus intermedia (Ehrh.) Pers.,Brouwers,Q27980,Sorbus intermedia
Sorbus latifolia (Lam.) Pers.,Allgemein,,
Sorbus latifolia (Lam.) Pers.,Henk Vink,,
Sorbus torminalis (L.) Crantz,Allgemein,,
Sorbus x thuringiaca (Ilse) Fritsch,Allgemein,,
Sorbus x thuringiaca (Ilse) Fritsch,Fastigiata,,
Styphnolobium japonicum,Allgemein,,
Styphnolobium japonicum,Princeton Upright,,
Styphnolobium japonicum,Regent,,
Syringa vulgaris L.,Allgemein,Q6565319,Syringa vulgaris
Syringa x persica L. (S. vulgaris x S. x laciniata),Allgemein,,
Tamarix ramosissima Ledeb. (T. pentandra Pall),Allgemein,,
Tamarix tetrandra Pall. ex M. Bieb.,Allgemein,,
Taxus baccata,Allgemein,Q179729,Taxus baccata
Thuja orientalis L. (Platycladus orientalis (L.) Franco),Allgemein,,
Thuja plicata Donn ex D.Don,Allgemein,Q147417,Thuja plicata
Tilia americana L.,Allgemein,Q163981,Tilia americana
Tilia americana L.,Nova,Q163981,Tilia americana
Tilia cordata Mill.,Allgemein,Q158746,Tilia cordata
Tilia cordata Mill.,Erecta,Q158746,Tilia cordata
Tilia cordata Mill.,Greenspire,Q158746,Tilia cordata
Tilia cordata Mill.,Rancho,Q158746,Tilia cordata
Tilia cordata Mill.,Roelvo,Q158746,Tilia cordata
Tilia mandshurica Rupr.et Maxim.,Allgemein,,
Tilia platyphyllos Scop.,Allgemein,Q156831,Tilia platyphyllos
Tilia platyphyllos Scop.,Rubra,Q156831,Tilia platyphyllos
Tilia tomentosa Moench,Allgemein,Q161382,Tilia tomentosa
Tilia tomentosa Moench,Brabant,Q161382,Tilia tomentosa
Tilia tomentosa Moench,Szeleste,Q161382,Tilia tomentosa
Tilia x euchlora K. Koch,Allgemein,Q159657,Tilia x euchlora
Tilia x flavescens A. Br.,Glenleven,,
Tilia x vulgaris Hayne (Tilia europaea L. p.p.),Allgemein,Q163760,Tilia x vulgaris
Tilia x vulgaris Hayne (Tilia europaea L. p.p.),Pallida,Q163760,Tilia x vulgaris
Ulmus glabra Huds.,Allgemein,Q147498,Ulmus glabra
Ulmus parvifolia Jacq.,Allgemein,,
Ulmus pumila L. var. pumila (U. mandschurica Nakai),Allgemein,,
Ulmus x hollandica Mill.,Allgemein,Q504004,Ulmus x hollandica
Ulmus x hollandica Mill.,Lobel,Q504004,Ulmus x hollandica
Ulmus x hollandica Mill.,New Horizon,Q504004,Ulmus x hollandica
Ulmus x hollandica Mill.,Plantijn,Q504004,Ulmus x hollandica
Ulmus x hollandica Mill.,Regal,Q504004,Ulmus x hollandica
Viburnum lantana L. (V. maculatum Pant.),Allgemein,,
Viburnum rhytidophyllum Hemsl.,Allgemein,Q180606,Viburnum rhytidophyllum
Viburnum x burkwoodii Burkwood et Skipw.,Allgemein,,
Viburnum x pragense Vik.,Allgemein,,
x Cupressocyparis leylandii (A.B. Jacks. et Dallim),Allgemein,,
Zelkova serrata (Thunb. Ex Murray) Makino,Allgemein,Q920344,Zelkova serrata
Zelkova serrata (Thunb. Ex Murray) Makino,Green Vase,Q920344,Zelkova serrata
